color_key,color_name,hex_code,r,g,b
air_force_blue_raf,"Air Force Blue (RAF)",#5D8AA8,93,138,168
air_force_blue_usaf,"Air Force Blue (USAF)",#00308F,0,48,143
air_superiority_blue,"Air Superiority Blue",#72A0C1,114,160,193
alabama_crimson,"Alabama Crimson",#A32638,163,38,56
alice_blue,"Alice Blue",#F0F8FF,240,248,255
alizarin_crimson,"Alizarin Crimson",#E32636,227,38,54
alloy_orange,"Alloy Orange",#C46210,196,98,16
almond,"Almond",#EFDECD,239,222,205
amaranth,"Amaranth",#E52B50,229,43,80
amber,"Amber",#FFBF00,255,191,0
amber_sae_ece,"Amber (SAE/ECE)",#FF7E00,255,126,0
american_rose,"American Rose",#FF033E,255,3,62
amethyst,"Amethyst",#9966CC,153,102,204
android_green,"Android Green",#A4C639,164,198,57
anti_flash_white,"Anti-Flash White",#F2F3F4,242,243,244
antique_brass,"Antique Brass",#CD9575,205,149,117
antique_fuchsia,"Antique Fuchsia",#915C83,145,92,131
antique_ruby,"Antique Ruby",#841B2D,132,27,45
antique_white,"Antique White",#FAEBD7,250,235,215
ao_english,"AO (English)",#008000,0,128,0
apple_green,"Apple Green",#8DB600,141,182,0
apricot,"Apricot",#FBCEB1,251,206,177
aqua,"Aqua",#00FFFF,0,255,255
aquamarine,"Aquamarine",#7FFFD4,127,255,212
army_green,"Army Green",#4B5320,75,83,32
arsenic,"Arsenic",#3B444B,59,68,75
arylide_yellow,"Arylide Yellow",#E9D66B,233,214,107
ash_grey,"Ash Grey",#B2BEB5,178,190,181
asparagus,"Asparagus",#87A96B,135,169,107
atomic_tangerine,"Atomic Tangerine",#FF9966,255,153,102
auburn,"Auburn",#A52A2A,165,42,42
aureolin,"Aureolin",#FDEE00,253,238,0
aurometalsaurus,"Aurometalsaurus",#6E7F80,110,127,128
avocado,"Avocado",#568203,86,130,3
azure,"Azure",#007FFF,0,127,255
azure_mist_web,"Azure Mist (Web)",#F0FFFF,240,255,255
baby_blue,"Baby Blue",#89CFF0,137,207,240
baby_blue_eyes,"Baby Blue Eyes",#A1CAF1,161,202,241
baby_pink,"Baby Pink",#F4C2C2,244,194,194
ball_blue,"Ball Blue",#21ABCD,33,171,205
banana_mania,"Banana Mania",#FAE7B5,250,231,181
banana_yellow,"Banana Yellow",#FFE135,255,225,53
barn_red,"Barn Red",#7C0A02,124,10,2
battleship_grey,"Battleship Grey",#848482,132,132,130
bazaar,"Bazaar",#98777B,152,119,123
beau_blue,"Beau Blue",#BCD4E6,188,212,230
beaver,"Beaver",#9F8170,159,129,112
beige,"Beige",#F5F5DC,245,245,220
big_dip_o_ruby,"Big Dip O'Ruby",#9C2542,156,37,66
bisque,"Bisque",#FFE4C4,255,228,196
bistre,"Bistre",#3D2B1F,61,43,31
bittersweet,"Bittersweet",#FE6F5E,254,111,94
bittersweet_shimmer,"Bittersweet Shimmer",#BF4F51,191,79,81
black,"Black",#000000,0,0,0
black_bean,"Black Bean",#3D0C02,61,12,2
black_leather_jacket,"Black Leather Jacket",#253529,37,53,41
black_olive,"Black Olive",#3B3C36,59,60,54
blanched_almond,"Blanched Almond",#FFEBCD,255,235,205
blast_off_bronze,"Blast-Off Bronze",#A57164,165,113,100
bleu_de_france,"Bleu De France",#318CE7,49,140,231
blizzard_blue,"Blizzard Blue",#ACE5EE,172,229,238
blond,"Blond",#FAF0BE,250,240,190
blue,"Blue",#0000FF,0,0,255
blue_bell,"Blue Bell",#A2A2D0,162,162,208
blue_crayola,"Blue (Crayola)",#1F75FE,31,117,254
blue_gray,"Blue Gray",#6699CC,102,153,204
blue_green,"Blue-Green",#0D98BA,13,152,186
blue_munsell,"Blue (Munsell)",#0093AF,0,147,175
blue_ncs,"Blue (NCS)",#0087BD,0,135,189
blue_pigment,"Blue (Pigment)",#333399,51,51,153
blue_ryb,"Blue (RYB)",#0247FE,2,71,254
blue_sapphire,"Blue Sapphire",#126180,18,97,128
blue_violet,"Blue-Violet",#8A2BE2,138,43,226
blush,"Blush",#DE5D83,222,93,131
bole,"Bole",#79443B,121,68,59
bondi_blue,"Bondi Blue",#0095B6,0,149,182
bone,"Bone",#E3DAC9,227,218,201
boston_university_red,"Boston University Red",#CC0000,204,0,0
bottle_green,"Bottle Green",#006A4E,0,106,78
boysenberry,"Boysenberry",#873260,135,50,96
brandeis_blue,"Brandeis Blue",#0070FF,0,112,255
brass,"Brass",#B5A642,181,166,66
brick_red,"Brick Red",#CB4154,203,65,84
bright_cerulean,"Bright Cerulean",#1DACE6,29,172,214
bright_green,"Bright Green",#66FF00,102,255,0
bright_lavender,"Bright Lavender",#BF94E4,191,148,228
bright_maroon,"Bright Maroon",#C32148,195,33,72
bright_pink,"Bright Pink",#FF007F,255,0,127
bright_turquoise,"Bright Turquoise",#08E8DE,8,232,222
bright_ube,"Bright Ube",#D19FE8,209,159,232
brilliant_lavender,"Brilliant Lavender",#F4BBFF,244,187,255
brilliant_rose,"Brilliant Rose",#FF55A3,255,85,163
brink_pink,"Brink Pink",#FB607F,251,96,127
british_racing_green,"British Racing Green",#004225,0,66,37
bronze,"Bronze",#CD7F32,205,127,50
brown_traditional,"Brown (Traditional)",#964B00,150,75,0
brown_web,"Brown (Web)",#A52A2A,165,42,42
bubble_gum,"Bubble Gum",#FFC1CC,255,193,204
bubbles,"Bubbles",#E7FEFF,231,254,255
buff,"Buff",#F0DC82,240,220,130
bulgarian_rose,"Bulgarian Rose",#480607,72,6,7
burgundy,"Burgundy",#800020,128,0,32
burlywood,"Burlywood",#DEB887,222,184,135
burnt_orange,"Burnt Orange",#CC5500,204,85,0
burnt_sienna,"Burnt Sienna",#E97451,233,116,81
burnt_umber,"Burnt Umber",#8A3324,138,51,36
byzantine,"Byzantine",#BD33A4,189,51,164
byzantium,"Byzantium",#702963,112,41,99
cadet,"Cadet",#536872,83,104,114
cadet_blue,"Cadet Blue",#5F9EA0,95,158,160
cadet_grey,"Cadet Grey",#91A3B0,145,163,176
cadmium_green,"Cadmium Green",#006B3C,0,107,60
cadmium_orange,"Cadmium Orange",#ED872D,237,135,45
cadmium_red,"Cadmium Red",#E30022,227,0,34
cadmium_yellow,"Cadmium Yellow",#FFF600,255,246,0
caf_au_lait,"Café Au Lait",#A67B5B,166,123,91
caf_noir,"Café Noir",#4B3621,75,54,33
cal_poly_green,"Cal Poly Green",#1E4D2B,30,77,43
cambridge_blue,"Cambridge Blue",#A3C1AD,163,193,173
camel,"Camel",#C19A6B,193,154,107
cameo_pink,"Cameo Pink",#EFBBCC,239,187,204
camouflage_green,"Camouflage Green",#78866B,120,134,107
canary_yellow,"Canary Yellow",#FFEF00,255,239,0
candy_apple_red,"Candy Apple Red",#FF0800,255,8,0
candy_pink,"Candy Pink",#E4717A,228,113,122
capri,"Capri",#00BFFF,0,191,255
caput_mortuum,"Caput Mortuum",#592720,89,39,32
cardinal,"Cardinal",#C41E3A,196,30,58
caribbean_green,"Caribbean Green",#00CC99,0,204,153
carmine,"Carmine",#960018,150,0,24
carmine_m_p,"Carmine (M&P)",#D70040,215,0,64
carmine_pink,"Carmine Pink",#EB4C42,235,76,66
carmine_red,"Carmine Red",#FF0038,255,0,56
carnation_pink,"Carnation Pink",#FFA6C9,255,166,201
carnelian,"Carnelian",#B31B1B,179,27,27
carolina_blue,"Carolina Blue",#99BADD,153,186,221
carrot_orange,"Carrot Orange",#ED9121,237,145,33
catalina_blue,"Catalina Blue",#062A78,6,42,120
ceil,"Ceil",#92A1CF,146,161,207
celadon,"Celadon",#ACE1AF,172,225,175
celadon_blue,"Celadon Blue",#007BA7,0,123,167
celadon_green,"Celadon Green",#2F847C,47,132,124
celeste_colour,"Celeste (Colour)",#B2FFFF,178,255,255
celestial_blue,"Celestial Blue",#4997D0,73,151,208
cerise,"Cerise",#DE3163,222,49,99
cerise_pink,"Cerise Pink",#EC3B83,236,59,131
cerulean,"Cerulean",#007BA7,0,123,167
cerulean_blue,"Cerulean Blue",#2A52BE,42,82,190
cerulean_frost,"Cerulean Frost",#6D9BC3,109,155,195
cg_blue,"Cg Blue",#007AA5,0,122,165
cg_red,"Cg Red",#E03C31,224,60,49
chamoisee,"Chamoisee",#A0785A,160,120,90
champagne,"Champagne",#FAD6A5,250,214,165
charcoal,"Charcoal",#36454F,54,69,79
charm_pink,"Charm Pink",#E68FAC,230,143,172
chartreuse_traditional,"Chartreuse (Traditional)",#DFFF00,223,255,0
chartreuse_web,"Chartreuse (Web)",#7FFF00,127,255,0
cherry,"Cherry",#DE3163,222,49,99
cherry_blossom_pink,"Cherry Blossom Pink",#FFB7C5,255,183,197
chestnut,"Chestnut",#CD5C5C,205,92,92
china_pink,"China Pink",#DE6FA1,222,111,161
china_rose,"China Rose",#A8516E,168,81,110
chinese_red,"Chinese Red",#AA381E,170,56,30
chocolate_traditional,"Chocolate (Traditional)",#7B3F00,123,63,0
chocolate_web,"Chocolate (Web)",#D2691E,210,105,30
chrome_yellow,"Chrome Yellow",#FFA700,255,167,0
cinereous,"Cinereous",#98817B,152,129,123
cinnabar,"Cinnabar",#E34234,227,66,52
cinnamon,"Cinnamon",#D2691E,210,105,30
citrine,"Citrine",#E4D00A,228,208,10
classic_rose,"Classic Rose",#FBCCE7,251,204,231
cobalt,"Cobalt",#0047AB,0,71,171
cocoa_brown,"Cocoa Brown",#D2691E,210,105,30
coffee,"Coffee",#6F4E37,111,78,55
columbia_blue,"Columbia Blue",#9BDDFF,155,221,255
congo_pink,"Congo Pink",#F88379,248,131,121
cool_black,"Cool Black",#002E63,0,46,99
cool_grey,"Cool Grey",#8C92AC,140,146,172
copper,"Copper",#B87333,184,115,51
copper_crayola,"Copper (Crayola)",#DA8A67,218,138,103
copper_penny,"Copper Penny",#AD6F69,173,111,105
copper_red,"Copper Red",#CB6D51,203,109,81
copper_rose,"Copper Rose",#996666,153,102,102
coquelicot,"Coquelicot",#FF3800,255,56,0
coral,"Coral",#FF7F50,255,127,80
coral_pink,"Coral Pink",#F88379,248,131,121
coral_red,"Coral Red",#FF4040,255,64,64
cordovan,"Cordovan",#893F45,137,63,69
corn,"Corn",#FBEC5D,251,236,93
cornell_red,"Cornell Red",#B31B1B,179,27,27
cornflower_blue,"Cornflower Blue",#6495ED,100,149,237
cornsilk,"Cornsilk",#FFF8DC,255,248,220
cosmic_latte,"Cosmic Latte",#FFF8E7,255,248,231
cotton_candy,"Cotton Candy",#FFBCD9,255,188,217
cream,"Cream",#FFFDD0,255,253,208
crimson,"Crimson",#DC143C,220,20,60
crimson_glory,"Crimson Glory",#BE0032,190,0,50
cyan,"Cyan",#00FFFF,0,255,255
cyan_process,"Cyan (Process)",#00B7EB,0,183,235
daffodil,"Daffodil",#FFFF31,255,255,49
dandelion,"Dandelion",#F0E130,240,225,48
dark_blue,"Dark Blue",#00008B,0,0,139
dark_brown,"Dark Brown",#654321,101,67,33
dark_byzantium,"Dark Byzantium",#5D3954,93,57,84
dark_candy_apple_red,"Dark Candy Apple Red",#A40000,164,0,0
dark_cerulean,"Dark Cerulean",#08457E,8,69,126
dark_chestnut,"Dark Chestnut",#986960,152,105,96
dark_coral,"Dark Coral",#CD5B45,205,91,69
dark_cyan,"Dark Cyan",#008B8B,0,139,139
dark_electric_blue,"Dark Electric Blue",#536878,83,104,120
dark_goldenrod,"Dark Goldenrod",#B8860B,184,134,11
dark_gray,"Dark Gray",#A9A9A9,169,169,169
dark_green,"Dark Green",#013220,1,50,32
dark_imperial_blue,"Dark Imperial Blue",#00416A,0,65,106
dark_jungle_green,"Dark Jungle Green",#1A2421,26,36,33
dark_khaki,"Dark Khaki",#BDB76B,189,183,107
dark_lava,"Dark Lava",#483C32,72,60,50
dark_lavender,"Dark Lavender",#734F96,115,79,150
dark_magenta,"Dark Magenta",#8B008B,139,0,139
dark_midnight_blue,"Dark Midnight Blue",#000336,0,51,102
dark_olive_green,"Dark Olive Green",#556B2F,85,107,47
dark_orange,"Dark Orange",#FF8C00,255,140,0
dark_orchid,"Dark Orchid",#9932CC,153,50,204
dark_pastel_blue,"Dark Pastel Blue",#779ECB,119,158,203
dark_pastel_green,"Dark Pastel Green",#03C03C,3,192,60
dark_pastel_purple,"Dark Pastel Purple",#966FD6,150,111,214
dark_pastel_red,"Dark Pastel Red",#C23B22,194,59,34
dark_pink,"Dark Pink",#E75480,231,84,128
dark_powder_blue,"Dark Powder Blue",#003399,0,51,153
dark_raspberry,"Dark Raspberry",#872657,135,38,87
dark_red,"Dark Red",#8B0000,139,0,0
dark_salmon,"Dark Salmon",#E9967A,233,150,122
dark_scarlet,"Dark Scarlet",#560319,86,3,25
dark_sea_green,"Dark Sea Green",#8FBC8F,143,188,143
dark_sienna,"Dark Sienna",#3C1414,60,20,20
dark_slate_blue,"Dark Slate Blue",#483D8B,72,61,139
dark_slate_gray,"Dark Slate Gray",#2F4F4F,47,79,79
dark_spring_green,"Dark Spring Green",#177245,23,114,69
dark_tan,"Dark Tan",#918151,145,129,81
dark_tangerine,"Dark Tangerine",#FFA812,255,168,18
dark_taupe,"Dark Taupe",#483C32,72,60,50
dark_terra_cotta,"Dark Terra Cotta",#CC4E5C,204,78,92
dark_turquoise,"Dark Turquoise",#00CED1,0,206,209
dark_violet,"Dark Violet",#9400D3,148,0,211
dark_yellow,"Dark Yellow",#9B870C,155,135,12
dartmouth_green,"Dartmouth Green",#00703C,0,112,60
davy_s_grey,"Davy's Grey",#555555,85,85,85
debian_red,"Debian Red",#D70A53,215,10,83
deep_carmine,"Deep Carmine",#A9203E,169,32,62
deep_carmine_pink,"Deep Carmine Pink",#EF3038,239,48,56
deep_carrot_orange,"Deep Carrot Orange",#E9692C,233,105,44
deep_cerise,"Deep Cerise",#DA3287,218,50,135
deep_champagne,"Deep Champagne",#FAD6A5,250,214,165
deep_chestnut,"Deep Chestnut",#B94E48,185,78,72
deep_coffee,"Deep Coffee",#704241,112,66,65
deep_fuchsia,"Deep Fuchsia",#C154C1,193,84,193
deep_jungle_green,"Deep Jungle Green",#004B49,0,75,73
deep_lilac,"Deep Lilac",#9555BB,153,85,187
deep_magenta,"Deep Magenta",#C000C,204,0,204
deep_peach,"Deep Peach",#FFCBA4,255,203,164
deep_pink,"Deep Pink",#FF1493,255,20,147
deep_ruby,"Deep Ruby",#843F5B,132,63,91
deep_saffron,"Deep Saffron",#FF9933,255,153,51
deep_sky_blue,"Deep Sky Blue",#00BFFF,0,191,255
deep_tuscan_red,"Deep Tuscan Red",#66424D,102,66,77
denim,"Denim",#1560BD,21,96,189
desert,"Desert",#C19A6B,193,154,107
desert_sand,"Desert Sand",#EDC9AF,237,201,175
dim_gray,"Dim Gray",#696969,105,105,105
dodger_blue,"Dodger Blue",#1E90FF,30,144,255
dogwood_rose,"Dogwood Rose",#D71868,215,24,104
dollar_bill,"Dollar Bill",#85BB65,133,187,101
drab,"Drab",#967117,150,113,23
duke_blue,"Duke Blue",#00009C,0,0,156
earth_yellow,"Earth Yellow",#E1A95F,225,169,95
ebony,"Ebony",#555D50,85,93,80
ecru,"Ecru",#C2B280,194,178,128
eggplant,"Eggplant",#614051,97,64,81
eggshell,"Eggshell",#F0EAD6,240,234,214
egyptian_blue,"Egyptian Blue",#1034A6,16,52,166
electric_blue,"Electric Blue",#7DF9FF,125,249,255
electric_crimson,"Electric Crimson",#FF003F,255,0,63
electric_cyan,"Electric Cyan",#00FFFF,0,255,255
electric_green,"Electric Green",#00FF00,0,255,0
electric_indigo,"Electric Indigo",#6F00FF,111,0,255
electric_lavender,"Electric Lavender",#F4BBFF,244,187,255
electric_lime,"Electric Lime",#CCFF00,204,255,0
electric_purple,"Electric Purple",#BF00FF,191,0,255
electric_ultramarine,"Electric Ultramarine",#3F00FF,63,0,255
electric_violet,"Electric Violet",#8F00FF,143,0,255
electric_yellow,"Electric Yellow",#FFFF00,255,255,0
emerald,"Emerald",#50C878,80,200,120
english_lavender,"English Lavender",#B48395,180,131,149
eton_blue,"Eton Blue",#96C8A2,150,200,162
fallow,"Fallow",#C19A6B,193,154,107
falu_red,"Falu Red",#801818,128,24,24
fandango,"Fandango",#B53389,181,51,137
fashion_fuchsia,"Fashion Fuchsia",#F400A1,244,0,161
fawn,"Fawn",#E5AA70,229,170,112
feldgrau,"Feldgrau",#4D5D53,77,93,83
fern_green,"Fern Green",#4F7942,79,121,66
ferrari_red,"Ferrari Red",#FF2800,255,40,0
field_drab,"Field Drab",#6C541E,108,84,30
fire_engine_red,"Fire Engine Red",#CE2029,206,32,41
firebrick,"Firebrick",#B22222,178,34,34
flame,"Flame",#E25822,226,88,34
flamingo_pink,"Flamingo Pink",#FC8EAC,252,142,172
flavescent,"Flavescent",#F7E98E,247,233,142
flax,"Flax",#EEDC82,238,220,130
floral_white,"Floral White",#FFFAF0,255,250,240
fluorescent_orange,"Fluorescent Orange",#FFBF00,255,191,0
fluorescent_pink,"Fluorescent Pink",#FF1493,255,20,147
fluorescent_yellow,"Fluorescent Yellow",#CCFF00,204,255,0
folly,"Folly",#FF004F,255,0,79
forest_green_traditional,"Forest Green (Traditional)",#014421,1,68,33
forest_green_web,"Forest Green (Web)",#228B22,34,139,34
french_beige,"French Beige",#A67B5B,166,123,91
french_blue,"French Blue",#0072BB,0,114,187
french_lilac,"French Lilac",#86608E,134,96,142
french_lime,"French Lime",#CCFF00,204,255,0
french_raspberry,"French Raspberry",#C72C48,199,44,72
french_rose,"French Rose",#F64A8A,246,74,138
fuchsia,"Fuchsia",#FF00FF,255,0,255
fuchsia_crayola,"Fuchsia (Crayola)",#C154C1,193,84,193
fuchsia_pink,"Fuchsia Pink",#FF77FF,255,119,255
fuchsia_rose,"Fuchsia Rose",#C74375,199,67,117
fulvous,"Fulvous",#E48400,228,132,0
fuzzy_wuzzy,"Fuzzy Wuzzy",#CC6666,204,102,102
gainsboro,"Gainsboro",#DCDCDC,220,220,220
gamboge,"Gamboge",#E49B0F,228,155,15
ghost_white,"Ghost White",#F8F8FF,248,248,255
ginger,"Ginger",#B06500,176,101,0
glaucous,"Glaucous",#6082B6,96,130,182
glitter,"Glitter",#E6E8FA,230,232,250
gold_metallic,"Gold (Metallic)",#D4AF37,212,175,55
gold_web_golden,"Gold (Web) (Golden)",#FFD700,255,215,0
golden_brown,"Golden Brown",#996515,153,101,21
golden_poppy,"Golden Poppy",#FCC200,252,194,0
golden_yellow,"Golden Yellow",#FFDF00,255,223,0
goldenrod,"Goldenrod",#DAA520,218,165,32
granny_smith_apple,"Granny Smith Apple",#A8E4A0,168,228,160
gray,"Gray",#808080,128,128,128
gray_asparagus,"Gray-Asparagus",#465945,70,89,69
gray_html_css_gray,"Gray (Html/Css Gray)",#808080,128,128,128
gray_x11_gray,"Gray (X11 Gray)",#BEBEBE,190,190,190
green_color_wheel_x11_green,"Green (Color Wheel) (X11 Green)",#00FF00,0,255,0
green_crayola,"Green (Crayola)",#1CAC78,28,172,120
green_html_css_green,"Green (Html/Css Green)",#008000,0,128,0
green_munsell,"Green (Munsell)",#00A877,0,168,119
green_ncs,"Green (Ncs)",#009F6B,0,159,107
green_pigment,"Green (Pigment)",#00A550,0,165,80
green_ryb,"Green (Ryb)",#66B032,102,176,50
green_yellow,"Green-Yellow",#ADFF2F,173,255,47
grullo,"Grullo",#A99A86,169,154,134
guppie_green,"Guppie Green",#00FF7F,0,255,127
halay_be,"Halayà úBe",#663854,102,56,84
han_blue,"Han Blue",#446CCF,68,108,207
han_purple,"Han Purple",#5218FA,82,24,250
hansa_yellow,"Hansa Yellow",#E9D66B,233,214,107
harlequin,"Harlequin",#3FFF00,63,255,0
harvard_crimson,"Harvard Crimson",#C90016,201,0,22
harvest_gold,"Harvest Gold",#DA9100,218,145,0
heart_gold,"Heart Gold",#808000,128,128,0
heliotrope,"Heliotrope",#DF73FF,223,115,255
hollywood_cerise,"Hollywood Cerise",#F400A1,244,0,161
honeydew,"Honeydew",#F0FFF0,240,255,240
honolulu_blue,"Honolulu Blue",#007FBF,0,127,191
hooker_s_green,"Hooker'S Green",#49796B,73,121,107
hot_magenta,"Hot Magenta",#FF1DCE,255,29,206
hot_pink,"Hot Pink",#FF69B4,255,105,180
hunter_green,"Hunter Green",#355E3B,53,94,59
iceberg,"Iceberg",#71A6D2,113,166,210
icterine,"Icterine",#FCF75E,252,247,94
imperial_blue,"Imperial Blue",#002395,0,35,149
inchworm,"Inchworm",#B2EC5D,178,236,93
india_green,"India Green",#138808,19,136,8
indian_red,"Indian Red",#CD5C5C,205,92,92
indian_yellow,"Indian Yellow",#E3A857,227,168,87
indigo,"Indigo",#6F00FF,111,0,255
indigo_dye,"Indigo (Dye)",#00416A,0,65,106
indigo_web,"Indigo (Web)",#4B0082,75,0,130
international_klein_blue,"International Klein Blue",#002FA7,0,47,167
international_orange_aerospace,"International Orange (Aerospace)",#FF4F00,255,79,0
international_orange_engineering,"International Orange (Engineering)",#BA160C,186,22,12
international_orange_golden_gate_bridge,"International Orange (Golden Gate Bridge)",#C0362C,192,54,44
iris,"Iris",#5A4FCF,90,79,207
isabelline,"Isabelline",#F4F0EC,244,240,236
islamic_green,"Islamic Green",#009000,0,144,0
ivory,"Ivory",#FFFFF0,255,255,240
jade,"Jade",#00A86B,0,168,107
jasmine,"Jasmine",#F8DE7E,248,222,126
jasper,"Jasper",#D73B3E,215,59,62
jazzberry_jam,"Jazzberry Jam",#A50B5E,165,11,94
jet,"Jet",#343434,52,52,52
jonquil,"Jonquil",#FADA5E,250,218,94
june_bud,"June Bud",#BDDA57,189,218,87
jungle_green,"Jungle Green",#29AB87,41,171,135
kelly_green,"Kelly Green",#4CBB17,76,187,23
kenyan_copper,"Kenyan Copper",#7C1C05,124,28,5
khaki_html_css_khaki,"Khaki (Html/Css) (Khaki)",#C3B091,195,176,145
khaki_x11_light_khaki,"Khaki (X11) (Light Khaki)",#F0E68C,240,230,140
ku_crimson,"Ku Crimson",#E8000D,232,0,13
la_salle_green,"La Salle Green",#087830,8,120,48
languid_lavender,"Languid Lavender",#D6CADD,214,202,221
lapis_lazuli,"Lapis Lazuli",#26619C,38,97,156
laser_lemon,"Laser Lemon",#FEFE22,254,254,34
laurel_green,"Laurel Green",#A9BA9D,169,186,157
lava,"Lava",#CF1020,207,16,32
lavender_blue,"Lavender Blue",#CCF,204,204,255
lavender_blush,"Lavender Blush",#FFF0F5,255,240,245
lavender_floral,"Lavender (Floral)",#B57EDC,181,126,220
lavender_gray,"Lavender Gray",#C4C3D0,196,195,208
lavender_indigo,"Lavender Indigo",#9457EB,148,87,235
lavender_magenta,"Lavender Magenta",#EE82EE,238,130,238
lavender_mist,"Lavender Mist",#E6E6FA,230,230,250
lavender_pink,"Lavender Pink",#FBAED2,251,174,210
lavender_purple,"Lavender Purple",#967BB6,150,123,182
lavender_rose,"Lavender Rose",#FBA0E3,251,160,227
lavender_web,"Lavender (Web)",#E6E6FA,230,230,250
lawn_green,"Lawn Green",#7CFC00,124,252,0
lemon,"Lemon",#FFF700,255,247,0
lemon_chiffon,"Lemon Chiffon",#FFFACD,255,250,205
lemon_lime,"Lemon Lime",#E3FF00,227,255,0
licorice,"Licorice",#1A1110,26,17,16
light_apricot,"Light Apricot",#FDD5B1,253,213,177
light_blue,"Light Blue",#ADD8E6,173,216,230
light_brown,"Light Brown",#B5651D,181,101,29
light_carmine_pink,"Light Carmine Pink",#E66771,230,103,113
light_coral,"Light Coral",#F08080,240,128,128
light_cornflower_blue,"Light Cornflower Blue",#93CCEA,147,204,234
